Trial_No,Type,Condition,Stim1,Stim1_F1,Stim1_F2,Stim2,Stim2_F1,Stim2_F2,Stim3,Stim3_F1,Stim3_F2,Stim4,Stim4_F1,Stim4_F2,Corr_Resp
1,E,1,Friend,C,NA,excitable,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
2,E,1,Friend,C,NA,cautious,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
3,E,3,Friend,C,NA,phony,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
4,E,1,Friend,C,NA,unconventional,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
5,E,2,Friend,C,NA,cruel,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
6,E,4,Friend,C,NA,excited,CL,Positive,NA,NA,NA,NA,NA,NA,No
7,E,3,Friend,C,NA,proud,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
8,E,1,Friend,C,NA,systematic,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
9,E,1,Friend,C,NA,sentimental,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
10,E,2,Friend,C,NA,untruthful,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
11,E,4,Friend,C,NA,obedient,CL,Positive,NA,NA,NA,NA,NA,NA,No
12,E,2,Friend,C,NA,liar,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
13,E,2,Friend,C,NA,insincere,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
14,E,4,Friend,C,NA,greedy,CL,Negative,NA,NA,NA,NA,NA,NA,No
15,E,3,Friend,C,NA,rude,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
16,E,3,Friend,C,NA,serious,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
17,E,4,Friend,C,NA,dependable,CL,Positive,NA,NA,NA,NA,NA,NA,No
18,E,2,Friend,C,NA,selfish,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
19,E,4,Friend,C,NA,hostile,CL,Negative,NA,NA,NA,NA,NA,NA,No
20,E,3,Friend,C,NA,ill-mannered,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
21,E,3,Friend,C,NA,boring,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
22,E,1,Friend,C,NA,ambitious,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
23,E,1,Friend,C,NA,calm,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
24,E,2,Friend,C,NA,quarrelsome,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
25,E,3,Friend,C,NA,impolite,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
26,E,3,Friend,C,NA,unpleasant,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
27,E,1,Friend,C,NA,outgoing,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
28,E,2,Friend,C,NA,irresponsible,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
29,E,3,Friend,C,NA,inquisitive,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
30,E,4,Friend,C,NA,ungrateful,CL,Negative,NA,NA,NA,NA,NA,NA,No
31,E,2,Friend,C,NA,cowardly,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
32,E,2,Friend,C,NA,egotistical,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
33,E,2,Friend,C,NA,gossipy,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
34,E,4,Friend,C,NA,unappreciative,CL,Negative,NA,NA,NA,NA,NA,NA,No
35,E,1,Friend,C,NA,self-confident,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
36,E,4,Friend,C,NA,tidy,CL,Positive,NA,NA,NA,NA,NA,NA,No
37,E,2,Friend,C,NA,complaining,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
38,E,4,Friend,C,NA,disagreeable,CL,Negative,NA,NA,NA,NA,NA,NA,No
39,E,3,Friend,C,NA,sociable,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
40,E,2,Friend,C,NA,careless,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
41,E,1,Friend,C,NA,relaxed,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
42,E,4,Friend,C,NA,attentive,CL,Positive,NA,NA,NA,NA,NA,NA,No
43,E,1,Friend,C,NA,independent,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
44,E,4,Friend,C,NA,uninteresting,CL,Negative,NA,NA,NA,NA,NA,NA,No
45,E,1,Friend,C,NA,generous,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
46,E,3,Friend,C,NA,tolerant,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
47,E,3,Friend,C,NA,self-reliant,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
48,E,4,Friend,C,NA,logical,CL,Positive,NA,NA,NA,NA,NA,NA,No
49,E,3,Friend,C,NA,neat,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
50,E,3,Friend,C,NA,observant,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
51,E,2,Friend,C,NA,hot-tempered,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
52,E,4,Friend,C,NA,dominating,CL,Negative,NA,NA,NA,NA,NA,NA,No
53,E,2,Friend,C,NA,envious,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
54,E,4,Friend,C,NA,short-tempered,CL,Negative,NA,NA,NA,NA,NA,NA,No
55,E,1,Friend,C,NA,cooperative,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
56,E,4,Friend,C,NA,talented,CL,Positive,NA,NA,NA,NA,NA,NA,No
57,E,4,Friend,C,NA,unfriendly,CL,Negative,NA,NA,NA,NA,NA,NA,No
58,E,2,Friend,C,NA,unattentive,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
59,E,3,Friend,C,NA,alert,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
60,E,2,Friend,C,NA,depressed,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
61,E,4,Friend,C,NA,efficient,CL,Positive,NA,NA,NA,NA,NA,NA,No
62,E,2,Friend,C,NA,unintelligent,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
63,E,4,Friend,C,NA,forgiving,CL,Positive,NA,NA,NA,NA,NA,NA,No
64,E,3,Friend,C,NA,polite,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
65,E,3,Friend,C,NA,noisy,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
66,E,2,Friend,C,NA,oversensitive,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
67,E,1,Friend,C,NA,helpful,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
68,E,1,Friend,C,NA,pleasant,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
69,E,4,Friend,C,NA,possessive,CL,Negative,NA,NA,NA,NA,NA,NA,No
70,E,1,Friend,C,NA,broad-minded,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
71,E,4,Friend,C,NA,trustful,CL,Positive,NA,NA,NA,NA,NA,NA,No
72,E,1,Friend,C,NA,humorous,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
73,E,3,Friend,C,NA,unpunctual,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
74,E,2,Friend,C,NA,unobservant,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
75,E,1,Friend,C,NA,happy,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
76,E,3,Friend,C,NA,nervous,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
77,E,3,Friend,C,NA,kind,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
78,E,4,Friend,C,NA,considerate,CL,Positive,NA,NA,NA,NA,NA,NA,No
79,E,3,Friend,C,NA,thoughtful,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
80,E,2,Friend,C,NA,unhealthy,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
81,E,1,Friend,C,NA,intelligent,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
82,E,4,Friend,C,NA,clumsy,CL,Negative,NA,NA,NA,NA,NA,NA,No
83,E,1,Friend,C,NA,trustworthy,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
84,E,2,Friend,C,NA,unhappy,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
85,E,1,Friend,C,NA,understanding,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
86,E,3,Friend,C,NA,unemotional,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
87,E,3,Friend,C,NA,impractical,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
88,E,4,Friend,C,NA,sincere,CL,Positive,NA,NA,NA,NA,NA,NA,No
89,E,1,Friend,C,NA,emotional,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
90,E,3,Friend,C,NA,fearful,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
91,E,2,Friend,C,NA,indecisive,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
92,E,1,Friend,C,NA,shy,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
93,E,2,Friend,C,NA,forgetful,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
94,E,1,Friend,C,NA,impulsive,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
95,E,4,Friend,C,NA,silent,CL,Negative,NA,NA,NA,NA,NA,NA,No
96,E,2,Friend,C,NA,critical,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
