Block,Number,reading subset,recall subset,condition,trial type,task,fixa,clue,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,Question1,Question2,Question3
1,2,2,,pure reading ,formal trial,reading,+,xxxxx,Emotions,are,thought,to result,from,evolution,because,they,provided,good,solutions to,the problems,that our,ancestors,faced.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
1,22,22,,pure reading ,catch trial,reading,+,xxxx,In many,"countries,",driving,a truck,requires,a special,driving,"license, the",requirements,and,limitations,vary,with,each,jurisdiction.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
1,26,26,1,conflict reading,formal trial,reading,+,door,Brain,tissue,consumes,a large,amount of,energy in,proportion to,"its volume,",so large,brains,place,severe,metabolic,demands on,animals.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
1,46,46,22,conflict reading,catch trial,reading,+,popcorn,Professors,often,conduct,original,research,and may,mentor and,supervise,graduate,students,conducting,research for,a thesis,or,dissertation.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
1,27,27,3,conflict reading,formal trial,reading,+,gift,Horses,can,perform a,number of,mental,challenges,that include,food,procurement,and,identification,of individuals,within,a social,system.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
1,1,1,,pure reading ,formal trial,reading,+,xxxx,Posters,are also,used for,reproductions,of,"artwork,",particularly,famous,"works,",and are,low-cost,compared,to the,original,artwork.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
1,25,25,2,conflict reading,formal trial,reading,+,party,Windows,often have,movable,coverings,such as,blinds or,curtains,to keep,light,"out,",provide,additional,"insulation,",and ensure,privacy.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
1,29,29,5,conflict reading,formal trial,reading,+,house,Kettles,can be,heated,either by,being,placed,on,"a stove,",or by,their,own,internal,electric,heating,element.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
1,5,5,,pure reading ,formal trial,reading,+,xxxxx,Today most,newspapers,are published,"online,",with,frequent,updates,throughout,"the day, and",some have,abandoned,their,print,versions,entirely.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
1,28,28,4,conflict reading,formal trial,reading,+,salad,Bullets,are,made in,a large,number of,shapes,and,materials,depending on,the intended,"application,",such as,hunting,and,training.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
1,4,4,,pure reading ,formal trial,reading,+,xxxxx,Ankle,problems,are very,common,and,mild,pain,can often,be,treated,at home,though,it takes,time,to cure.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
1,3,3,,pure reading ,formal trial,reading,+,xxxx,Toys for,infants,make use of,distinctive,"sounds,",bright,"colors, and",unique,"textures,",which,enable,infants to,recognize,shapes,and colors.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
2,11,11,,pure reading ,formal trial,reading,+,xxxxxxxxxx,String,could,be a,component,in other,"tools,",and in,devices,as,diverse,as,"weapons,",musical,"instruments,",and toys.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
2,32,32,8,conflict reading,formal trial,reading,+,restaurant,Salt is,a naturally,occurring,constituent,in foods,such as,meats,and,"vegetables,",it is,present,in,very,small,quantities.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
2,33,33,9,conflict reading,formal trial,reading,+,grass,Television,services,in some,countries,are,funded by,"a licence,",so,advertising,plays a,lesser,role,or,no role,at all.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
2,8,8,,pure reading ,formal trial,reading,+,xxxxxxxxxx,Ships,have been,important,contributors,to,human,migration,and,"commerce,",which have,supported the,spread of,colonization,and slave,trade.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
2,9,9,,pure reading ,formal trial,reading,+,xxxxx,In the,"mid-1800s,",magazines,gained,"popularity,",they were,general,interest to,"begin with,",containing,"news,",political,"events,",and social,discussion.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
2,10,10,,pure reading ,formal trial,reading,+,xxxx,Clock,is,one of,the oldest,human,"inventions,",meeting,the need,to,measure,intervals,of time,shorter,than,a day.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
2,7,7,,pure reading ,formal trial,reading,+,xxxxxx,The body,size of,snakes,has a major,influence,on their,eating,"habits,",with large,pythons,being,able to,tackle,small,deer.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
2,31,31,7,conflict reading,formal trial,reading,+,butter,Pigment,inks,are used,more,frequently,than dyes,because,they,transfer,colour,"more quickly,",but they,are less,consistent,in colour.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
2,6,6,,pure reading ,formal trial,reading,+,xxxx,Dolls,for girls,tend to,represent,feminine,traits and,come,with,accessories,such as,"clothing,",kitchen,"appliances,",furniture,and jewelry.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
2,34,34,10,conflict reading,formal trial,reading,+,baby,Drinking,water,is often,collected,"at springs,",extracted,from,artificial,wells,in the,"ground,",or pumped,from,lakes and,rivers.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
2,47,47,23,conflict reading,catch trial,reading,+,diamond,Some,bridges,are built,much,taller,than,"necessary,","for example,",the moon,bridge,which is,often,found in,east-Asian,gardens.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
2,30,30,6,conflict reading,formal trial,reading,+,meat,Seaweeds,are,sometimes,used as,animal,"feed,",and have,long been,eaten by,"sheep,",horses,and cattle,in,Northern,Europe.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,39,39,15,conflict reading,formal trial,reading,+,dress,"In antiquity,",Indian,flags,were often,triangular,shaped,and,decorated,with,attachments,such as,yak's tail,and,the state,umbrella.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,37,37,13,conflict reading,formal trial,reading,+,meeting,Some,rope,is still,made ,from,natural,"fibres,",like coir,"and sisal,",despite the ,dominance,of synthetic,fibres,such as,nylon.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,16,16,,pure reading ,formal trial,reading,+,xxxxx,During the,heat of,"the day,",mosquitoes,rest in,a cool,place,and,wait,till,evening,to,hunt,for,food.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,36,36,12,conflict reading,formal trial,reading,+,car,The mining,of rocks,creates,a negative,impact,on the,environment,both,during,the mining,operations,and after,the mine,has,closed.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,15,15,,pure reading ,formal trial,reading,+,xxxxx,Cotton,farmers in,developing,countries,accept,a low,price,for their,"produce,",otherwise,it is,difficult to,compete with,developed,countries.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,12,12,,pure reading ,formal trial,reading,+,xxx,An electron,microscope,produces,"a visible,",clear,image of,small,"organelles,",resulting,in,a more,efficient,way to,detect,pathogens.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,35,35,11,conflict reading,formal trial,reading,+,instrument,Lips,are very,sensitive,"to touch,","warmth,","and cold,",they are,therefore,an important,aid for,exploring,unknown,objects,for,babies.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,38,38,14,conflict reading,formal trial,reading,+,decoration,Intelligence,is,most,often,studied,in humans,but,has also,been,observed,"in animals,",such as,dolphins,and,elephants.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,40,40,16,conflict reading,formal trial,reading,+,table,In many,"cases,",stains,are,affected,by heat,and may,become,reactive,enough,to,bond,with the,underlying,material.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,23,23,,pure reading ,catch trial,reading,+,xxxxxxx,During,the 17th,"Century,",pipe,smoking,became a,new trend,among,the Dutch,"youth,",specifically,upper and,middle,class,students.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,13,13,,pure reading ,formal trial,reading,+,xxxxxxx,Film is,considered,to be,an important,art,"form,",a source,of,popular,"entertainment,",and a,medium,for,educating,citizens.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
3,14,14,,pure reading ,formal trial,reading,+,xxxxxxxxxx,Since,the early,"1900s,",coloured,scarves,with,tassles,have been,worn by,fans of,association,football,teams,across,the world.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,19,19,,pure reading ,formal trial,reading,+,xxxxx,Exposure,to,pesticides,may increase,a child's,lifelong,cancer,"risk,",as well as,harm his,or her,nervous,and,immune,systems.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,44,44,20,conflict reading,formal trial,reading,+,kitchen,Stars,are not,spread,uniformly,across,"the universe,",but are,normally,grouped,into,galaxies,along with,interstellar,gas and,dust.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,17,17,,pure reading ,formal trial,reading,+,xxxxxx,Lobsters,are,omnivores,and typically,eat,live,prey,such as,"fish,","molluscs,",other,"crustaceans,","worms,",and some,plants.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,45,45,21,conflict reading,formal trial,reading,+,book,Rust,is,generally,a,negative,aspect of,"iron,",it,can be,avoided,by,controlling,the moisture,in the,atmosphere.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,24,24,,pure reading ,catch trial,reading,+,xxxxx,Rulers,have,long been,made from,different,materials,and in,multiple,"sizes,",plastics,have been,used,since,they were,invented.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,43,43,19,conflict reading,formal trial,reading,+,candy,Talons,are,important,for birds,of prey,like,"hawks,",because,they,need,to use,them,to catch,their,food.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,20,20,,pure reading ,formal trial,reading,+,xxxxxxx,All,mammals,have,some hair,on their,"skin,",even marine,mammals,like,whales and,"dolphins,",which,appear,to be,hairless.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,18,18,,pure reading ,formal trial,reading,+,xxxxx,Frogs,are,distributed,in,tropics and,sub-arctic,"regions,",but the,greatest,concentration,of species,diversity,is,in tropical,rainforests.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,48,48,24,conflict reading,catch trial,reading,+,paper,Dollar,is the,currency,name for,more,than,twenty,"countries,",while,the U.S.,dollar is,the world's,primary,reserve,currency.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,41,41,17,conflict reading,formal trial,reading,+,sunset,One of,the biggest,threats to,elephant,populations,is,illegal,ivory,"trade,",as,they,are,poached,for their,tusks.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,42,42,18,conflict reading,formal trial,reading,+,toast,Coloured,pencils are,sometimes,used by,teachers,or editors,to correct,submitted,"texts,",but,are,typically,regarded as,art,supplies.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
4,21,21,,pure reading ,formal trial,reading,+,xxxx,Some,insects,damage,crops by,feeding,on,"sap,","leaves,","fruits,","or wood,",and,they may,act as,disease,vectors.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?
